,index,id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude,année,mois,duplicated
752187,2289468,2018-987645,2018-01-12,Vente,2150000.0,28.0,,RUE MARBEUF,5993,75008.0,75108,Paris 8e Arrondissement,75,190.23,,,,,1,2.0,Appartement,198.0,6.0,,,,2.3049310000000003,48.869093,2018,1,False
752188,2289469,2018-987646,2018-01-16,Vente,750000.0,5.0,,RUE DES PYRAMIDES,7902,75001.0,75101,Paris 1er Arrondissement,75,53.35,,,,,7,2.0,Appartement,67.0,3.0,,,,2.332345,48.864465,2018,1,False
752189,2289470,2018-987647,2018-01-18,Vente,138500.0,2.0,,RUE DE SAINT PETERSBOURG,8724,75008.0,75108,Paris 8e Arrondissement,75,12.94,,,,,2,2.0,Appartement,14.0,1.0,,,,2.324251,48.87945,2018,1,False
752190,2289471,2018-987648,2018-01-12,Vente,345909.8,42.0,,AV DE WAGRAM,9933,75008.0,75108,Paris 8e Arrondissement,75,32.87,,,,,1,2.0,Appartement,31.0,2.0,,,,2.298074,48.877109999999995,2018,1,False
752192,2289477,2018-987652,2018-01-11,Vente,78000.0,50.0,,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,9.2,,,,,1,2.0,Appartement,8.0,1.0,,,,2.3578919999999997,48.867748999999996,2018,1,False
752193,2289481,2018-987655,2018-01-15,Vente,1890500.0,14.0,,RUE DE MONTMORENCY,6517,75003.0,75103,Paris 3e Arrondissement,75,164.82,,,,,4,2.0,Appartement,169.0,4.0,,,,2.356268,48.862925,2018,1,False
752194,2289484,2018-987657,2018-01-09,Vente,750000.0,66.0,,RUE LA BOETIE,5194,75008.0,75108,Paris 8e Arrondissement,75,70.13,,,,,1,2.0,Appartement,75.0,3.0,,,,2.311579,48.87344,2018,1,False
752195,2289495,2018-987659,2018-01-18,Vente,340000.0,27.0,,RUE DE BRETAGNE,1275,75003.0,75103,Paris 3e Arrondissement,75,34.21,,,,,1,2.0,Appartement,30.0,2.0,,,,2.362828,48.862505,2018,1,False
752197,2289499,2018-987662,2018-01-10,Vente,460000.0,15.0,,RUE DARU,2576,75008.0,75108,Paris 8e Arrondissement,75,24.75,,13.4,,,3,2.0,Appartement,34.0,1.0,,,,2.301943,48.878276,2018,1,False
752198,2289500,2018-987663,2018-01-08,Vente,295000.0,63.0,,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,32.65,,,,,1,2.0,Appartement,22.0,1.0,,,,2.355672,48.867702,2018,1,False
752201,2289505,2018-987667,2018-01-23,Vente,384220.0,8.0,,RUE CAFFARELLI,1413,75003.0,75103,Paris 3e Arrondissement,75,31.59,,,,,1,2.0,Appartement,32.0,2.0,,,,2.361975,48.863547,2018,1,False
752202,2289506,2018-987668,2018-01-04,Vente,207000.0,44.0,,RUE PASTOURELLE,7094,75003.0,75103,Paris 3e Arrondissement,75,17.45,,,,,1,2.0,Appartement,17.0,2.0,,,,2.358714,48.863313,2018,1,False
752203,2289507,2018-987669,2018-01-12,Vente,82000.0,30.0,,RUE DES MATHURINS,6176,75008.0,75108,Paris 8e Arrondissement,75,,,,,,1,2.0,Appartement,67.0,2.0,,,,2.326531,48.873275,2018,1,False
